created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Wed Aug 30 03:28:42 +0000 2023;1696726611587113317;"Strategi polusi dari Pak Luhut https://t.co/ql0RB66Qrq";0;0;0;0;in;536821740;1696726611587113317;Apramdit;https://twitter.com/Apramdit/status/1696726611587113317
Wed Aug 30 03:27:26 +0000 2023;1696726291683373129;"“Datanya sudah jelas soal asal polusi, malah yang dilakukan adalah memberi subsidi Pertamax Turbo, menanam pohon, membeli kendaraan listrik, menyiram jalanan dan kegiatan lain yang tidak menyentuh penyebab polusi,” ujar Gilbert dalam keterangan resmi, Selasa (29/8/2023).";0;1;0;0;in;118646322;1696726288172802278;Bisniscom;https://twitter.com/Bisniscom/status/1696726291683373129
Wed Aug 30 03:27:25 +0000 2023;1696726289997246593;"Anggota DPRD DKI Jqkarta Fraksi PDIP Gilbert Simanjuntak mengatakan, upaya yang sudah dilakukan oleh Pemprov DKI seperti menanam pohon dan menyiram jalanan di ibu kota tidak menyentuh penyebab polusi.";0;1;0;0;in;118646322;1696726288172802278;Bisniscom;https://twitter.com/Bisniscom/status/1696726289997246593
Wed Aug 30 03:27:25 +0000 2023;1696726288172802278;"Menurut kalian gimana?  DPRD DKI Jakarta menyatakan upaya yang telah dilakukan Pemerintah Provinsi (Pemprov) DKI Jakarta mengurangi polusi udara kurang efektif. https://t.co/f5ClGp9YlC";0;1;0;0;in;118646322;1696726288172802278;Bisniscom;https://twitter.com/Bisniscom/status/1696726288172802278
Wed Aug 30 03:27:00 +0000 2023;1696726183776235816;"Indonesia menggunakan kapur tohor untuk melakukan modifikasi untuk polusi udara yang buruk. Bagaimana cara kerja kapur tohor di atmosfer? https://t.co/qzHXuGDGgu";0;0;0;0;in;135815019;1696726183776235816;detikinet;https://twitter.com/detikinet/status/1696726183776235816
Wed Aug 30 03:26:45 +0000 2023;1696726122040590424;"BPJS Terbebani Rp10 Triliun, Menkes Sebut Polusi Udara Penyebabnya https://t.co/APr0DG3AMc";0;0;0;0;in;1690969676287983616;1696726122040590424;bisnisbandung63;https://twitter.com/bisnisbandung63/status/1696726122040590424
Wed Aug 30 03:26:25 +0000 2023;1696726036757778816;"@RagilSemar Coz kita emank hidup di negeri ajaib brother.. Buktinya,: 135 nyawa bisa hilang karena “angin”😌, Cara menanggulangi polusi udara adalah dengan beli kendaraan listrik😉 Otak pembunuhan berencana hukuman diringankan dgn alasan “30 thn mengabdi”. Kurang ajaib apalagi?";0;0;0;1;in;868004863;1696693785596735554;yanpanjie;https://twitter.com/yanpanjie/status/1696726036757778816
Wed Aug 30 03:25:38 +0000 2023;1696725840481108104;"@2kaaang Iya bang, tapi bedanya mobilnya gk ada polusi";0;0;0;0;in;1664184721671348225;1696589028555100379;ElCrebo;https://twitter.com/ElCrebo/status/1696725840481108104
Wed Aug 30 03:25:34 +0000 2023;1696725822298800179;"@0xigen_1st @Fr4nst @Wicaksono_J @ganjarpranowo Masih ada polusi nya kan?? Kalo lu mau ngikutin Eropa atau Amerika mereka itu udah beralih ke pembangkit listrik yg ramah terhadap polusi udara nya.";0;1;0;0;in;1105455605903286272;1696479478669586523;mabrori02;https://twitter.com/mabrori02/status/1696725822298800179
Wed Aug 30 03:25:29 +0000 2023;1696725801763516584;"@tempodotco Mendadak semua buzzer dan cebong jakun nya naik turun, langsung emosi dan kesurupan. Maklum Krn jagoannya saat ini masih bingung buat lari2 kemana Krn JKT sekarang seperti kota kalah perang dgn polusi diambang batas.";0;0;0;0;in;1685924999482523648;1696432414095192540;ArjayaDirja;https://twitter.com/ArjayaDirja/status/1696725801763516584
